1,0.535
0,0.4
1,0.43
3,0.66
1,0.615
2,0.065
1,0.575
3,0.88
1,0.285
2,0.545
1,0.72
1,0.315
0,0.685
2,0.59
0,0.045
3,0.69
0,0.03
2,0.64
0,0.54
0,0.175
1,0.93
2,0.89
0,0.51
1,0.075
0,0.935
3,0.245
0,0.74
3,0.46
0,0.935
2,0.03
1,0.695
2,0.185
0,0.21
3,0.17
0,0.41
2,0.7
1,0.65
0,0.9
0,0.66
2,0.355
1,0.325
1,0.335
0,0.645
2,0.315
3,0.38
2,0.94
0,0.81
3,0.63
1,0.81
2,0.91
2,0.06
3,0.74
0,0.835
3,0.745
0,0.52
2,0.525
1,0.605
0,0.85
1,0.78
2,0.615
4,0.985
1,0.325
0,0.02
1,0.8
0,0.045
2,0.78
4,0.88
3,0.88
0,0.73
3,0.67
1,0.94
1,0.845
1,0.835
3,0.835
0,0.46
3,0.155
0,0.48
2,0.485
1,0.985
1,0.905
2,0.895
1,0.62
1,0.79
2,0.38
0,0.63
2,0.46
0,0.78
3,0.375
0,0.79
3,0.825
1,0.98
3,0.82
0,0.22
2,0.45
0,0.335
1,0.42
0,0.295
3,0.555
3,0.93
1,0.625
3,0.46
0,0.12
1,0.635
3,0.43
0,0.91
1,0.475
1,0.125
2,0.43
1,0.72
2,0.625
1,0.875
3,0.56
2,1.0
4,0.04
2,0.59
1,0.94
1,0.55
0,0.335
1,0.905
2,0.945
1,0.415
1,0.01
0,0.56
3,0.905
0,0.87
2,0.665
0,0.52
1,0.335
1,0.92
1,0.665
0,0.34
3,0.93
3,0.59
1,0.88
0,1.0
2,0.34
2,0.85
1,0.72
1,0.64
1,0.935
0,0.835
3,0.7
1,0.875
2,0.915
3,0.995
2,0.83
1,0.835
2,0.865
3,0.89
2,0.425
0,0.76
3,0.775
0,0.83
3,0.81
0,0.905
3,0.125
2,0.765
2,0.49
0,0.73
2,0.175
1,0.715
0,0.655
1,0.75
1,0.135
1,0.515
0,0.095
2,0.07
1,0.86
3,0.435
1,0.705
3,0.73
0,0.76
3,0.76
1,0.44
0,0.2
1,0.235
2,0.835
1,0.44
0,0.31
2,0.39
0,0.89
1,0.265
0,0.96
3,0.765
1,0.81
2,0.025
0,0.255
1,0.805
1,0.74
2,0.855
0,0.475
2,0.86
2,0.67
2,0.685
3,0.655
0,0.995
2,0.93
1,0.77
0,0.775
0,0.36
4,0.3
1,0.82
1,0.87
1,0.425
0,0.56
3,0.86
3,0.92
1,0.435
0,0.835
3,0.875
0,0.2
1,0.305
0,0.54
1,0.435
0,0.075
1,0.35
0,0.695
3,0.845
1,0.23
2,0.51
0,0.02
2,0.525
0,0.725
3,0.05
